Result Number,EE_DISPLAY_ID,EE_ORDERING_ID,DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,Spacecraft Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,WRS Type,Date Acquired,Start Time,Stop Time,Sensor Anomalies,Acquisition Quality,Quality Band 1,Quality Band 2,Quality Band 3,Quality Band 4,Quality Band 5,Quality Band 6,Quality Band 7,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Browse  Exists,Data Category,Map Projection LORa,Data Type L0Rp,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Reflective Samples,Reflective Lines,Thermal Lines,Thermal Samples,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Geometric RMSE Verify,Map Projection Level 1,Datum,Ellipsoid,UTM Zone,Vertical Long from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec
53,LT50200471999076XXX02,LT50200471999076XXX02,0,Y,LT50200471999076XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1999/03/17,1999:076:16:01:41.33081,1999:076:16:02:08.41563,N,9,9,9,9,9,9,9,9,0,0,0,0,0,53.07958298,119.59786045, 18.79206   (18°47'31.42"N), -89.89045   (89°53'25.62"W), 19.71089   (19°42'39.20"N), -90.57957  (90°34'46.45"W), 19.45748   (19°27'26.93"N), -88.83674   (88°50'12.26"W), 18.12131   (18°07'16.72"N), -90.93636   (90°56'10.90"W), 17.87020 (17°52'12.72"N), -89.20933   (89°12'33.59"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72525   (19°43'30.90"N), -91.03041   (91°01'49.48"S), 19.76178   (19°45'42.41"N), -88.78001   (88°46'48.04"S), 17.79949   (17°47'58.16"N), -90.98485  (90°59'05.46"W), 17.83222   (17°49'55.99"N), -88.75983   (88°45'35.39"S),7871,7121,7121,7871,174,3.768,2.616,2.712,.177,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79206,-89.89045,19.72525,-91.03041,19.76178,-88.78001,17.79949,-90.98485,17.83222,-88.75983
54,LT50200471999060AAA04,LT50200471999060AAA04,0,Y,LT50200471999060AAA04,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,1999/03/01,1999:060:16:01:54.42838,1999:060:16:02:21.51319,N,9,9,9,9,9,9,9,9,10,0,0,0,20,48.55416097,126.56622308, 18.79971   (18°47'58.96"N), -89.92015   (89°55'12.54"W), 19.71854   (19°43'06.74"N), -90.60930  (90°36'33.48"W), 19.46513   (19°27'54.47"N), -88.86639   (88°51'59.00"W), 18.12896   (18°07'44.26"N), -90.96611   (90°57'58.00"W), 17.87784 (17°52'40.22"N), -89.23900   (89°14'20.40"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.73278   (19°43'58.01"N), -91.05632   (91°03'22.75"S), 19.76959   (19°46'10.52"N), -88.81158   (88°48'41.69"S), 17.80438   (17°48'15.77"N), -91.01039  (91°00'37.40"W), 17.83735   (17°50'14.46"N), -88.79102   (88°47'27.67"S),7851,7131,7131,7851,90,3.841,2.942,2.469,.227,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79971,-89.92015,19.73278,-91.05632,19.76959,-88.81158,17.80438,-91.01039,17.83735,-88.79102
55,LT50200471999044XXX02,LT50200471999044XXX02,0,Y,LT50200471999044XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1999/02/13,1999:044:16:01:56.28438,1999:044:16:02:23.36838,N,9,9,9,9,9,9,9,9,60,40,40,60,30,44.36307048,132.36663136, 18.79529   (18°47'43.04"N), -89.90915   (89°54'32.94"W), 19.71412   (19°42'50.83"N), -90.59828  (90°35'53.81"W), 19.46071   (19°27'38.56"N), -88.85542   (88°51'19.51"W), 18.12454   (18°07'28.34"N), -90.95508   (90°57'18.29"W), 17.87343 (17°52'24.35"N), -89.22802   (89°13'40.87"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,,GEOTIFF,DEFINITIVE, 19.73310   (19°43'59.16"N), -91.04204   (91°02'31.34"S), 19.76974   (19°46'11.06"N), -88.79727   (88°47'50.17"S), 17.80197   (17°48'07.09"N), -90.99621  (90°59'46.36"W), 17.83477   (17°50'05.17"N), -88.77684   (88°46'36.62"S),7851,7141,7141,7851,,,,,,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79529,-89.90915,19.7331,-91.04204,19.76974,-88.79727,17.80197,-90.99621,17.83477,-88.77684
56,LT50200471999028AAA04,LT50200471999028AAA04,0,Y,LT50200471999028AAA04,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,1999/01/28,1999:028:16:01:44.78363,1999:028:16:02:11.86650,N,9,9,9,9,9,9,9,9,20,30,30,0,20,41.08192322,137.22592651, 18.78547   (18°47'07.69"N), -89.85383   (89°51'13.79"W), 19.70429   (19°42'15.44"N), -90.54292  (90°32'34.51"W), 19.45090   (19°27'03.24"N), -88.80017   (88°48'00.61"W), 18.11471   (18°06'52.96"N), -90.89970   (90°53'58.92"W), 17.86361 (17°51'49.00"N), -89.17273   (89°10'21.83"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.71822   (19°43'05.59"N), -90.98166   (90°58'53.98"S), 19.75407   (19°45'14.65"N), -88.73699   (88°44'13.16"S), 17.78965   (17°47'22.74"N), -90.93661  (90°56'11.80"W), 17.82175   (17°49'18.30"N), -88.71728   (88°43'02.21"S),7851,7131,7131,7851,46,7.045,5.268,4.677,12.089,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78547,-89.85383,19.71822,-90.98166,19.75407,-88.73699,17.78965,-90.93661,17.82175,-88.71728
57,LT50200471999012XXX01,LT50200471999012XXX01,0,Y,LT50200471999012XXX01,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1999/01/12,1999:012:16:01:42.42550,1999:012:16:02:09.50725,N,9,9,9,9,9,9,9,9,0,0,0,0,0,39.19683207,141.26311564, 18.78280   (18°46'58.08"N), -89.83599   (89°50'09.56"W), 19.70162   (19°42'05.83"N), -90.52507  (90°31'30.25"W), 19.44823   (19°26'53.63"N), -88.78234   (88°46'56.42"W), 18.11204   (18°06'43.34"N), -90.88184   (90°52'54.62"W), 17.86094 (17°51'39.38"N), -89.15490   (89°09'17.64"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.71590   (19°42'57.24"N), -90.96446   (90°57'52.06"S), 19.75156   (19°45'05.62"N), -88.71692   (88°43'00.91"S), 17.78999   (17°47'23.96"N), -90.91967  (90°55'10.81"W), 17.82193   (17°49'18.95"N), -88.69747   (88°41'50.89"S),7861,7121,7121,7861,196,4.069,2.884,2.871,.314,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.7828,-89.83599,19.7159,-90.96446,19.75156,-88.71692,17.78999,-90.91967,17.82193,-88.69747
58,LT50200471998361AAA01,LT50200471998361AAA01,0,Y,LT50200471998361AAA01,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,1998/12/27,1998:361:16:01:47.44613,1998:361:16:02:14.52713,N,9,9,9,9,9,9,9,9,10,0,0,20,20,38.92203277,144.29564859, 18.78061   (18°46'50.20"N), -89.84931   (89°50'57.52"W), 19.69909   (19°41'56.72"N), -90.53792  (90°32'16.51"W), 19.44571   (19°26'44.56"N), -88.79522   (88°47'42.79"W), 18.10951   (18°06'34.24"N), -90.89468   (90°53'40.85"W), 17.85841 (17°51'30.28"N), -89.16776   (89°10'03.94"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,PREDICTIVE, 19.71281   (19°42'46.12"N), -90.98153   (90°58'53.51"S), 19.74871   (19°44'55.36"N), -88.73120   (88°43'52.32"S), 17.78694   (17°47'12.98"N), -90.93655  (90°56'11.58"W), 17.81909   (17°49'08.72"N), -88.71160   (88°42'41.76"S),7871,7121,7121,7871,1,4.476,3.15,3.18,.47,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78061,-89.84931,19.71281,-90.98153,19.74871,-88.7312,17.78694,-90.93655,17.81909,-88.7116
59,LT50200471998345XXX02,LT50200471998345XXX02,0,Y,LT50200471998345XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1998/12/11,1998:345:16:01:39.00050,1998:345:16:02:06.08081,N,9,9,9,9,9,9,9,9,40,10,20,0,20,40.20355096,145.91539454, 18.77676   (18°46'36.34"N), -89.81505   (89°48'54.18"W), 19.69558   (19°41'44.09"N), -90.50411  (90°30'14.80"W), 19.44220   (19°26'31.92"N), -88.76145   (88°45'41.22"W), 18.10600   (18°06'21.60"N), -90.86086   (90°51'39.10"W), 17.85491 (17°51'17.68"N), -89.13398   (89°08'02.33"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.71105   (19°42'39.78"N), -90.93862   (90°56'19.03"S), 19.74635   (19°44'46.86"N), -88.69397   (88°41'38.29"S), 17.80943   (17°48'33.95"N), -90.89466  (90°53'40.78"W), 17.84109   (17°50'27.92"N), -88.67501   (88°40'30.04"S),,,,,,,,,,,,,,,,,,,,,,18.77676,-89.81505,19.71105,-90.93862,19.74635,-88.69397,17.80943,-90.89466,17.84109,-88.67501
60,LT50200471998329AAA02,LT50200471998329AAA02,0,Y,LT50200471998329AAA02,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,1998/11/25,1998:329:16:01:43.57600,1998:329:16:02:10.65388,N,9,9,9,9,9,9,9,9,50,60,20,60,10,42.86851979,145.82457784, 18.77986   (18°46'47.50"N), -89.83797   (89°50'16.69"W), 19.69868   (19°41'55.25"N), -90.52704  (90°31'37.34"W), 19.44530   (19°26'43.08"N), -88.78434   (88°47'03.62"W), 18.10910   (18°06'32.76"N), -90.88380   (90°53'01.68"W), 17.85801 (17°51'28.84"N), -89.15689   (89°09'24.80"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.71325   (19°42'47.70"N), -90.96154   (90°57'41.54"S), 19.74885   (19°44'55.86"N), -88.71689   (88°43'00.80"S), 17.81169   (17°48'42.08"N), -90.91731  (90°55'02.32"W), 17.84361   (17°50'37.00"N), -88.69768   (88°41'51.65"S),,,,,,,,,,,,,,,,,,,,,,18.77986,-89.83797,19.71325,-90.96154,19.74885,-88.71689,17.81169,-90.91731,17.84361,-88.69768
61,LT50200471998313XXX02,LT50200471998313XXX02,0,Y,LT50200471998313XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,1998/11/09,1998:313:16:01:41.64488,1998:313:16:02:08.72181,N,9,9,9,9,9,9,9,9,70,60,60,60,50,46.45082325,143.52912126, 18.78205   (18°46'55.38"N), -89.83801   (89°50'16.84"W), 19.70087   (19°42'03.13"N), -90.52709  (90°31'37.52"W), 19.44748   (19°26'50.93"N), -88.78437   (88°47'03.73"W), 18.11129   (18°06'40.64"N), -90.88386   (90°53'01.90"W), 17.86019 (17°51'36.68"N), -89.15692   (89°09'24.91"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.71866   (19°43'07.18"N), -90.96167   (90°57'42.01"S), 19.75421   (19°45'15.16"N), -88.72268   (88°43'21.65"S), 17.81710   (17°49'01.56"N), -90.91743  (90°55'02.75"W), 17.84898   (17°50'56.33"N), -88.70339   (88°42'12.20"S),,,,,,,,,,,,,,,,,,,,,,18.78205,-89.83801,19.71866,-90.96167,19.75421,-88.72268,17.8171,-90.91743,17.84898,-88.70339
62,LT50200471998281AAA01,LT50200471998281AAA01,0,Y,LT50200471998281AAA01,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,1998/10/08,1998:281:16:01:32.56681,1998:281:16:01:59.64144,N,9,9,9,9,9,9,9,9,50,20,30,30,40,54.14818329,131.17959691, 18.78408   (18°47'02.69"N), -89.82927   (89°49'45.37"W), 19.70290   (19°42'10.44"N), -90.51836  (90°31'06.10"W), 19.44951   (19°26'58.24"N), -88.77562   (88°46'32.23"W), 18.11332   (18°06'47.95"N), -90.87513   (90°52'30.47"W), 17.86222 (17°51'43.99"N), -89.14817   (89°08'53.41"W),Yes                                ,NOMINAL,,PR,PROCESSING REQUIRED,,,, 19.71615   (19°42'58.14"N), -90.95303   (90°57'10.91"S), 19.75158   (19°45'05.69"N), -88.71406   (88°42'50.62"S), 17.81456   (17°48'52.42"N), -90.90890  (90°54'32.04"W), 17.84634   (17°50'46.82"N), -88.69487   (88°41'41.53"S),,,,,,,,,,,,,,,,,,,,,,18.78408,-89.82927,19.71615,-90.95303,19.75158,-88.71406,17.81456,-90.9089,17.84634,-88.69487
